YPB SKU,PRODUCT
,
,
YPB.211,Sermorelin (10mg)
YPB.212,BPC-157 (5mg)
YPB.213,BPC-157 (10mg)
YPB.214,Thymosin Beta 4 (TB500) (5mg)
YPB.215,Thymosin Beta 4 (TB500) (10mg)
YPB.216,Wolverine Blend - BPC-157 (5mg) / TB500 (5mg)
YPB.217,Wolverine Blend - BPC-157 (10mg) / TB500 (10mg)
YPB.218,GLOW GHK-Cu (50mg) / BPC-157 (10mg) / TB500 (10mg)
YPB.219,CJC-1295 Without DAC (10mg)
YPB.220,CJC-1295 With DAC (5mg)
YPB.221,GHK-Cu (50mg)
YPB.222,GHK-Cu (100mg)
YPB.223,NAD+ (500mg)
YPB.224,NAD+ (1000mg)
YPB.227,MOTS-c (10mg)
YPB.228,Selank (10mg)
YPB.229,Semax (10mg)
YPB.230,DSIP (15mg)
YPB.231,Thymosin Alpha 1 (TA1) (10mg)
YPB.232,N-Acetyl Epitalon Amidate (5 mg)
YPB.233,GDF-8 (1mg)
YPB.237,BPC 157 (20mg)
YPB.238,2X Blend CJC-1295 Without DAC (5mg) / Ipamorelin (5mg)
YPB.241,Cagrilintide (10mg)
YPB.242,5-amino-1mq (5mg)
YPB.243,SLU-PP-332 (5mg)
YPB.244,LL37 (5mg)
YPB.245,SS-31 (10mg)
YPB.246,SS-31 (50mg)
YPB.247,5-amino-1mq (50mg)
YPB.248,AOD9604 (5mg)
YPB.249,ACE-031 (1mg)
YPB.250,AICAR (50mg)
YPB.251,B12 (10ml)
YPB.252,DSIP (5mg)
YPB.253,Epitalon (10mg)
YPB.254,Epitalon (50mg)
YPB.255,FOXO4 (10mg)
YPB.256,HCG (10000iu)
YPB.257,GHRP-6 Acetate (10mg)
YPB.258,HMG (75iu)
YPB.259,Glutathione (1500mg)
YPB.261,Hexarelin Acetate (5mg)
YPB.262,IGF-1LR3 (1mg)
YPB.263,Ipamorelin (10mg)
YPB.264,KLOW - 
YPB.265,LYSINE-PROLINE-VALINE (10mg)
YPB.266,KissPeptin (10mg)
YPB.267,8X Blend L-Carnitine (20mg) / L-Arginine (20mg) / Methonine (25mg) / Inositol (50mg) / Choline (50mg) / B6 (25mg) / B5 (5mg) / B12 (1mg)
YPB.268,4X Blend Methionine (15mg) / Choline Chloride (50mg) / Carnitine (50mg) / Dexpanthenol (5mg)
YPB.269,Mazdutide (100mg)
YPB.270,Melanotan 2 (10mg)
YPB.271,MOTS-c (40mg)
YPB.272,Snap-8 (10mg)
YPB.273,Pinealon (20mg)
YPB.274,PT-141 (10mg)
YPB.275,PNC-27 (10mg)
YPB.277,ARA-290 (10mg)
YPB.278,Survodutide (10mg)
YPB.279,Tesamorelin (10mg)
YPB.280,Thymalin (10mg)
YPB.281,VIP10 (10mg)
YPB.282,GHRP-6 Acetate (5mg)
YPB.283,Glutathione (600mg)
YPB.285,IGF-1LR3 (0.1mg)
YPB.286,IGF-DES (0.1mg)
YPB.287,GLP-3 RZ (60mg)
YPB.288,Tesamorelin (20mg)
YPB.200,GLP-1 S (10mg)
YPB.201,GLP-1 S (20mg)
YPB.202,GLP-1 S (30mg)
YPB.203,GLP-2 TZ (10mg)
YPB.204,GLP-2 TZ (20mg)
YPB.205,GLP-2 TZ (30mg)
YPB.206,GLP-2 TZ (40mg)
YPB.207,GLP-2 TZ (50mg)
YPB.208,GLP-2 TZ (60mg)
YPB.209,GLP-3 RT (10mg)
YPB.210,GLP-3 RT (20mg)
YPB.234,GLP-3 RT (30mg)
YPB.235,GLP-3 RT (40mg)
YPB.236,GLP-3 RT (50mg)
YPB.239,Cagrilintide (5mg) / GLP-1 S (5mg)
YPB.240,Cagrilintide (2.5mg) / GLP-1 S (2.5mg)
